Epoch 1, best valid loss 2.1125325113534927, train loss 26.863556802272797, valid loss 2.1125325113534927.
Epoch 2, best valid loss 1.5321784317493439, train loss 12.411147639155388, valid loss 1.5321784317493439.
Epoch 3, best valid loss 1.2617275789380074, train loss 10.658477447926998, valid loss 1.2617275789380074.
Epoch 4, best valid loss 0.9440656527876854, train loss 8.29097943753004, valid loss 0.9440656527876854.
Epoch 5, best valid loss 0.7827432155609131, train loss 6.519991137087345, valid loss 0.7827432155609131.
Epoch 6, best valid loss 0.7018497288227081, train loss 5.630316227674484, valid loss 0.7018497288227081.
Epoch 7, best valid loss 0.6508800163865089, train loss 5.16404002904892, valid loss 0.6508800163865089.
Epoch 8, best valid loss 0.6099579744040966, train loss 4.823021080344915, valid loss 0.6099579744040966.
Epoch 9, best valid loss 0.5748079791665077, train loss 4.521826535463333, valid loss 0.5748079791665077.
Epoch 10, best valid loss 0.548079539090395, train loss 4.271520506590605, valid loss 0.548079539090395.
Epoch 11, best valid loss 0.5231001302599907, train loss 4.055189091712236, valid loss 0.5231001302599907.
Epoch 12, best valid loss 0.4993080794811249, train loss 3.854884870350361, valid loss 0.4993080794811249.
Epoch 13, best valid loss 0.47942054830491543, train loss 3.677405271679163, valid loss 0.47942054830491543.
Epoch 14, best valid loss 0.4570143334567547, train loss 3.506939448416233, valid loss 0.4570143334567547.
Epoch 15, best valid loss 0.4400676228106022, train loss 3.3565802201628685, valid loss 0.4400676228106022.
Epoch 16, best valid loss 0.42787433601915836, train loss 3.2443816363811493, valid loss 0.42787433601915836.
Epoch 17, best valid loss 0.4159507639706135, train loss 3.1549825444817543, valid loss 0.4159507639706135.
Epoch 18, best valid loss 0.4054967723786831, train loss 3.0717014372348785, valid loss 0.4054967723786831.
Epoch 19, best valid loss 0.39588613063097, train loss 3.00065078958869, valid loss 0.39588613063097.
Epoch 20, best valid loss 0.3863997310400009, train loss 2.927168343216181, valid loss 0.3863997310400009.
Epoch 21, best valid loss 0.3777518682181835, train loss 2.860849551856518, valid loss 0.3777518682181835.
Epoch 22, best valid loss 0.3694148752838373, train loss 2.7978467773646116, valid loss 0.3694148752838373.
Epoch 23, best valid loss 0.3623351976275444, train loss 2.737607169896364, valid loss 0.3623351976275444.
Epoch 24, best valid loss 0.35473305359482765, train loss 2.6825700402259827, valid loss 0.35473305359482765.
Epoch 25, best valid loss 0.3477770406752825, train loss 2.627837235108018, valid loss 0.3477770406752825.
Epoch 26, best valid loss 0.3417763691395521, train loss 2.57782194390893, valid loss 0.3417763691395521.
Epoch 27, best valid loss 0.3361012041568756, train loss 2.5285058729350567, valid loss 0.3361012041568756.
Epoch 28, best valid loss 0.3299234192818403, train loss 2.4815375357866287, valid loss 0.3299234192818403.
Epoch 29, best valid loss 0.32446846552193165, train loss 2.4352135453373194, valid loss 0.32446846552193165.
Epoch 30, best valid loss 0.3191716428846121, train loss 2.3921989016234875, valid loss 0.3191716428846121.
Epoch 31, best valid loss 0.3137839324772358, train loss 2.349943619221449, valid loss 0.3137839324772358.
Epoch 32, best valid loss 0.3090254757553339, train loss 2.3071540389209986, valid loss 0.3090254757553339.
Epoch 33, best valid loss 0.30311483703553677, train loss 2.2655190136283636, valid loss 0.30311483703553677.
Epoch 34, best valid loss 0.2980949804186821, train loss 2.2278359681367874, valid loss 0.2980949804186821.
Epoch 35, best valid loss 0.2927886927500367, train loss 2.186939476057887, valid loss 0.2927886927500367.
Epoch 36, best valid loss 0.2875555893406272, train loss 2.1505150720477104, valid loss 0.2875555893406272.
Epoch 37, best valid loss 0.28287412598729134, train loss 2.1158808059990406, valid loss 0.28287412598729134.
Epoch 38, best valid loss 0.27836292423307896, train loss 2.0786124411970377, valid loss 0.27836292423307896.
Epoch 39, best valid loss 0.2735493276268244, train loss 2.046625541523099, valid loss 0.2735493276268244.
Epoch 40, best valid loss 0.2693356676027179, train loss 2.0154783483594656, valid loss 0.2693356676027179.
Epoch 41, best valid loss 0.26590223982930183, train loss 1.9857223872095346, valid loss 0.26590223982930183.
Epoch 42, best valid loss 0.26229568012058735, train loss 1.9564498774707317, valid loss 0.26229568012058735.
Epoch 43, best valid loss 0.2579621132463217, train loss 1.9318259302526712, valid loss 0.2579621132463217.
Epoch 44, best valid loss 0.2547948844730854, train loss 1.904968086630106, valid loss 0.2547948844730854.
Epoch 45, best valid loss 0.25073047168552876, train loss 1.8788603004068136, valid loss 0.25073047168552876.
Epoch 46, best valid loss 0.24754681251943111, train loss 1.852945214137435, valid loss 0.24754681251943111.
Epoch 47, best valid loss 0.2441678587347269, train loss 1.8285105135291815, valid loss 0.2441678587347269.
Epoch 48, best valid loss 0.24081719294190407, train loss 1.804188396781683, valid loss 0.24081719294190407.
Epoch 49, best valid loss 0.23742571752518415, train loss 1.780391862615943, valid loss 0.23742571752518415.
Epoch 50, best valid loss 0.2340010078623891, train loss 1.7552721481770277, valid loss 0.2340010078623891.
Epoch 51, best valid loss 0.23099501430988312, train loss 1.732857633382082, valid loss 0.23099501430988312.
Epoch 52, best valid loss 0.22794742695987225, train loss 1.7091850470751524, valid loss 0.22794742695987225.
Epoch 53, best valid loss 0.22501440811902285, train loss 1.6855259835720062, valid loss 0.22501440811902285.
Epoch 54, best valid loss 0.2221994623541832, train loss 1.6650472283363342, valid loss 0.2221994623541832.
Epoch 55, best valid loss 0.2198121314868331, train loss 1.6434283126145601, valid loss 0.2198121314868331.
Epoch 56, best valid loss 0.2166776368394494, train loss 1.6241000108420849, valid loss 0.2166776368394494.
Epoch 57, best valid loss 0.21460093185305595, train loss 1.6045471113175154, valid loss 0.21460093185305595.
Epoch 58, best valid loss 0.21190789062529802, train loss 1.5870104786008596, valid loss 0.21190789062529802.
Epoch 59, best valid loss 0.20985026191920042, train loss 1.570260789245367, valid loss 0.20985026191920042.
Epoch 60, best valid loss 0.20770725328475237, train loss 1.5539564583450556, valid loss 0.20770725328475237.
Epoch 61, best valid loss 0.2055303817614913, train loss 1.5378288328647614, valid loss 0.2055303817614913.
Epoch 62, best valid loss 0.20389312598854303, train loss 1.521589983254671, valid loss 0.20389312598854303.
Epoch 63, best valid loss 0.20232175942510366, train loss 1.507867893204093, valid loss 0.20232175942510366.
Epoch 64, best valid loss 0.20013422798365355, train loss 1.4934298321604729, valid loss 0.20013422798365355.
Epoch 65, best valid loss 0.19866203609853983, train loss 1.4797930605709553, valid loss 0.19866203609853983.
Epoch 66, best valid loss 0.19683081842958927, train loss 1.4673498403280973, valid loss 0.19683081842958927.
Epoch 67, best valid loss 0.1953752962872386, train loss 1.4537558667361736, valid loss 0.1953752962872386.
Epoch 68, best valid loss 0.1936866883188486, train loss 1.4419193919748068, valid loss 0.1936866883188486.
Epoch 69, best valid loss 0.19236283283680677, train loss 1.428696095943451, valid loss 0.19236283283680677.
Epoch 70, best valid loss 0.19057811424136162, train loss 1.4171147886663675, valid loss 0.19057811424136162.
Epoch 71, best valid loss 0.18929500505328178, train loss 1.4062996730208397, valid loss 0.18929500505328178.
Epoch 72, best valid loss 0.18860941100865602, train loss 1.3963036760687828, valid loss 0.18860941100865602.
Epoch 73, best valid loss 0.18714397959411144, train loss 1.3857375532388687, valid loss 0.18714397959411144.
Epoch 74, best valid loss 0.18549988605082035, train loss 1.374810597859323, valid loss 0.18549988605082035.
Epoch 75, best valid loss 0.18462015595287085, train loss 1.3649656493216753, valid loss 0.18462015595287085.
Epoch 76, best valid loss 0.18326142895966768, train loss 1.3569543231278658, valid loss 0.18326142895966768.
Epoch 77, best valid loss 0.1827082158997655, train loss 1.3469666261225939, valid loss 0.1827082158997655.
Epoch 78, best valid loss 0.18129970040172338, train loss 1.3391317948698997, valid loss 0.18129970040172338.
Epoch 79, best valid loss 0.18049603700637817, train loss 1.3303872179239988, valid loss 0.18049603700637817.
Epoch 80, best valid loss 0.1791285565122962, train loss 1.3229997344315052, valid loss 0.1791285565122962.
Epoch 81, best valid loss 0.17816185485571623, train loss 1.3161820666864514, valid loss 0.17816185485571623.
Epoch 82, best valid loss 0.1775698084384203, train loss 1.3083256343379617, valid loss 0.1775698084384203.
Epoch 83, best valid loss 0.17745329532772303, train loss 1.3011631425470114, valid loss 0.17745329532772303.
