Epoch 1, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.54128634929657, valid loss 12.842829585075378.
Epoch 2, train f1 0.34831033716020976, valid f1 0.6596999751231988, best valid f1 0.6596999751231988, train loss 82.27514564990997, valid loss 8.140284478664398.
Epoch 3, train f1 0.7692152669858566, valid f1 0.9552269604546098, best valid f1 0.9552269604546098, train loss 48.38934099674225, valid loss 5.318949908018112.
Epoch 4, train f1 0.9655136032617448, valid f1 0.9824939975990395, best valid f1 0.9824939975990395, train loss 34.650556683540344, valid loss 3.8432599008083344.
Epoch 5, train f1 0.9787833917936811, valid f1 0.987570079900153, best valid f1 0.987570079900153, train loss 28.82212808728218, valid loss 3.7399977147579193.
Epoch 6, train f1 0.9873060403021078, valid f1 0.99, best valid f1 0.99, train loss 27.851363480091095, valid loss 3.640671819448471.
Epoch 7, train f1 0.9912570579830591, valid f1 0.9874996874921873, best valid f1 0.99, train loss 27.512158542871475, valid loss 3.654263913631439.
Epoch 8, train f1 0.9890696154065362, valid f1 0.987497186867045, best valid f1 0.99, train loss 27.448139488697052, valid loss 3.68807390332222.
Epoch 9, train f1 0.9910478727987561, valid f1 0.9899959983993598, best valid f1 0.99, train loss 27.233132749795914, valid loss 3.6192764043807983.
Epoch 10, train f1 0.9934404263918281, valid f1 0.9924983121202271, best valid f1 0.9924983121202271, train loss 27.14198875427246, valid loss 3.663380056619644.
Epoch 11, train f1 0.9934374734913813, valid f1 0.9924983121202271, best valid f1 0.9924983121202271, train loss 26.928321599960327, valid loss 3.6204370856285095.
Epoch 12, train f1 0.9938553542307614, valid f1 0.9949871852856927, best valid f1 0.9949871852856927, train loss 26.8907430768013, valid loss 3.5984614193439484.
Epoch 13, train f1 0.9943743964822532, valid f1 0.9924998124953123, best valid f1 0.9949871852856927, train loss 26.771280378103256, valid loss 3.5992945730686188.
Epoch 14, train f1 0.9943744128415675, valid f1 0.9899743705713854, best valid f1 0.9949871852856927, train loss 26.851621329784393, valid loss 3.60810324549675.
Epoch 15, train f1 0.9954182844472108, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.763248652219772, valid loss 3.6157346069812775.
Epoch 16, train f1 0.9943762715087126, valid f1 0.9924738647817354, best valid f1 0.9974999374984375, train loss 26.787844479084015, valid loss 3.6478075981140137.
Epoch 17, train f1 0.9949990189173069, valid f1 0.9950000000000001, best valid f1 0.9974999374984375, train loss 26.6838356256485, valid loss 3.5687596201896667.
Epoch 18, train f1 0.99718808337608, valid f1 0.994999499949995, best valid f1 0.9974999374984375, train loss 26.561836183071136, valid loss 3.5697206556797028.
Epoch 19, train f1 0.9972919409090134, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.531794100999832, valid loss 3.5271412432193756.
Epoch 20, train f1 0.9988546419612039, valid f1 0.9949871852856927, best valid f1 0.9974999374984375, train loss 26.377335160970688, valid loss 3.5697487890720367.
Epoch 21, train f1 0.997500194580154, valid f1 0.9950000000000001, best valid f1 0.9974999374984375, train loss 26.441285461187363, valid loss 3.5530828833580017.
Epoch 22, train f1 0.9971869052713467, valid f1 0.9924998124953123, best valid f1 0.9974999374984375, train loss 26.543506532907486, valid loss 3.5712192058563232.
Epoch 23, train f1 0.9981259557137756, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.434991359710693, valid loss 3.5364019572734833.
Epoch 24, train f1 0.9993748040766136, valid f1 0.9950000000000001, best valid f1 0.9974999374984375, train loss 26.30029532313347, valid loss 3.5472367107868195.
Epoch 25, train f1 0.9993750000000001, valid f1 1.0, best valid f1 1.0, train loss 26.290027737617493, valid loss 3.5084473490715027.
Epoch 26, train f1 0.9990625, valid f1 0.9899959983993598, best valid f1 1.0, train loss 26.322580337524414, valid loss 3.734727531671524.
Epoch 27, train f1 0.9990626950684356, valid f1 1.0, best valid f1 1.0, train loss 26.323508828878403, valid loss 3.505769729614258.
Epoch 28, train f1 0.9990626950684356, valid f1 1.0, best valid f1 1.0, train loss 26.296100795269012, valid loss 3.515085905790329.
Epoch 29, train f1 1.0, valid f1 0.994999499949995, best valid f1 1.0, train loss 26.241482824087143, valid loss 3.5419355034828186.
Epoch 30, train f1 0.9987499973126148, valid f1 0.9924998124953124, best valid f1 1.0, train loss 26.36399120092392, valid loss 3.566301077604294.
Epoch 31, train f1 0.9993748040766136, valid f1 0.994999499949995, best valid f1 1.0, train loss 26.318043380975723, valid loss 3.585391104221344.
