Epoch 1, train f1 0.17179455239993355, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 99.6151909828186, valid loss 12.969538629055023.
Epoch 2, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 95.2124674320221, valid loss 12.951036512851715.
Epoch 3, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 94.77350533008575, valid loss 12.78641265630722.
Epoch 4, train f1 0.19005181003927274, valid f1 0.27816990477433884, best valid f1 0.27816990477433884, train loss 91.64702045917511, valid loss 11.881700158119202.
Epoch 5, train f1 0.329760661108742, valid f1 0.3553214323503182, best valid f1 0.3553214323503182, train loss 84.90248274803162, valid loss 11.187174618244171.
Epoch 6, train f1 0.3394985808893094, valid f1 0.3515125080452556, best valid f1 0.3553214323503182, train loss 81.89760929346085, valid loss 11.114217281341553.
Epoch 7, train f1 0.34446662114606863, valid f1 0.3252535935986861, best valid f1 0.3553214323503182, train loss 81.72527521848679, valid loss 11.584116458892822.
Epoch 8, train f1 0.3504155057632052, valid f1 0.36285083842735383, best valid f1 0.36285083842735383, train loss 80.6734653711319, valid loss 10.93735921382904.
Epoch 9, train f1 0.37421376672214524, valid f1 0.44036969599404197, best valid f1 0.44036969599404197, train loss 79.27153372764587, valid loss 10.46006292104721.
Epoch 10, train f1 0.39846496119721453, valid f1 0.3713659456612237, best valid f1 0.44036969599404197, train loss 78.52757096290588, valid loss 10.410720765590668.
Epoch 11, train f1 0.4335163408793556, valid f1 0.5182824080831672, best valid f1 0.5182824080831672, train loss 76.98746025562286, valid loss 9.938868999481201.
Epoch 12, train f1 0.47485100138292635, valid f1 0.5164531214801995, best valid f1 0.5182824080831672, train loss 75.74549496173859, valid loss 9.800956726074219.
Epoch 13, train f1 0.4922607602170902, valid f1 0.5280112044817927, best valid f1 0.5280112044817927, train loss 74.12444484233856, valid loss 9.504194021224976.
Epoch 14, train f1 0.5279113783578413, valid f1 0.5560730792579889, best valid f1 0.5560730792579889, train loss 71.26593345403671, valid loss 9.390181183815002.
Epoch 15, train f1 0.5510708859558574, valid f1 0.5946273887898962, best valid f1 0.5946273887898962, train loss 69.75015264749527, valid loss 9.020645916461945.
Epoch 16, train f1 0.5485678844545656, valid f1 0.5488305847076461, best valid f1 0.5946273887898962, train loss 70.30871015787125, valid loss 9.85773229598999.
Epoch 17, train f1 0.5772211152892432, valid f1 0.5456482127350635, best valid f1 0.5946273887898962, train loss 69.06066733598709, valid loss 9.489005029201508.
Epoch 18, train f1 0.5877562604168911, valid f1 0.593533124457325, best valid f1 0.5946273887898962, train loss 68.05504202842712, valid loss 8.77194458246231.
Epoch 19, train f1 0.6302556049320724, valid f1 0.6712710646626738, best valid f1 0.6712710646626738, train loss 65.99256521463394, valid loss 8.750653982162476.
Epoch 20, train f1 0.5912928531318734, valid f1 0.6552079933915314, best valid f1 0.6712710646626738, train loss 67.8865385055542, valid loss 8.900561958551407.
Epoch 21, train f1 0.6249230590475655, valid f1 0.6924704371628115, best valid f1 0.6924704371628115, train loss 65.93403959274292, valid loss 8.739545166492462.
Epoch 22, train f1 0.6259212785575576, valid f1 0.7144223172077665, best valid f1 0.7144223172077665, train loss 65.93055665493011, valid loss 8.655689179897308.
Epoch 23, train f1 0.6550435278142454, valid f1 0.7378521128008779, best valid f1 0.7378521128008779, train loss 64.5403368473053, valid loss 8.384525656700134.
Epoch 24, train f1 0.6424813434181208, valid f1 0.6133042784923209, best valid f1 0.7378521128008779, train loss 65.32950627803802, valid loss 8.7002534866333.
Epoch 25, train f1 0.6733357326069146, valid f1 0.7448971254075493, best valid f1 0.7448971254075493, train loss 62.91551738977432, valid loss 8.279775381088257.
Epoch 26, train f1 0.6761764306416489, valid f1 0.6628928503046202, best valid f1 0.7448971254075493, train loss 62.77747970819473, valid loss 8.872711420059204.
Epoch 27, train f1 0.6901802992411643, valid f1 0.6661486859408088, best valid f1 0.7448971254075493, train loss 62.064637660980225, valid loss 9.053182423114777.
Epoch 28, train f1 0.7016580744172032, valid f1 0.7622222222222222, best valid f1 0.7622222222222222, train loss 61.46173733472824, valid loss 7.959699273109436.
Epoch 29, train f1 0.7074549921511488, valid f1 0.6592082701475821, best valid f1 0.7622222222222222, train loss 60.954070925712585, valid loss 8.497851073741913.
Epoch 30, train f1 0.6949478607158517, valid f1 0.7443745597627663, best valid f1 0.7622222222222222, train loss 61.5626865029335, valid loss 7.980977833271027.
Epoch 31, train f1 0.7064123786618792, valid f1 0.7265342466704945, best valid f1 0.7622222222222222, train loss 60.868003606796265, valid loss 8.360520958900452.
Epoch 32, train f1 0.718500989262659, valid f1 0.7057240693280267, best valid f1 0.7622222222222222, train loss 60.805817663669586, valid loss 8.5808345079422.
Epoch 33, train f1 0.71784269468768, valid f1 0.5580769927392347, best valid f1 0.7622222222222222, train loss 60.11963754892349, valid loss 10.428274810314178.
Epoch 34, train f1 0.7340949010089592, valid f1 0.735311893464995, best valid f1 0.7622222222222222, train loss 59.18836569786072, valid loss 8.159612119197845.
Epoch 35, train f1 0.7346256698570912, valid f1 0.7676820049216152, best valid f1 0.7676820049216152, train loss 58.65675646066666, valid loss 7.938651114702225.
Epoch 36, train f1 0.7222643804257324, valid f1 0.7243761434607575, best valid f1 0.7676820049216152, train loss 59.570503652095795, valid loss 8.142385065555573.
Epoch 37, train f1 0.7256329392056455, valid f1 0.7397774768527197, best valid f1 0.7676820049216152, train loss 59.80641585588455, valid loss 8.122025668621063.
Epoch 38, train f1 0.7296654279917621, valid f1 0.7369834407137247, best valid f1 0.7676820049216152, train loss 59.28343838453293, valid loss 7.957217156887054.
Epoch 39, train f1 0.7350197557792806, valid f1 0.7514192369547648, best valid f1 0.7676820049216152, train loss 59.14168357849121, valid loss 7.750619173049927.
Epoch 40, train f1 0.7510627963063452, valid f1 0.7566185364289125, best valid f1 0.7676820049216152, train loss 57.13137984275818, valid loss 7.84222412109375.
Epoch 41, train f1 0.7432346914004322, valid f1 0.7746202464048104, best valid f1 0.7746202464048104, train loss 56.86603307723999, valid loss 7.51626992225647.
Epoch 42, train f1 0.7223108693787317, valid f1 0.6664822174477188, best valid f1 0.7746202464048104, train loss 59.54363203048706, valid loss 9.18923008441925.
Epoch 43, train f1 0.7573048358287676, valid f1 0.7359118414591471, best valid f1 0.7746202464048104, train loss 56.56844747066498, valid loss 8.141324877738953.
Epoch 44, train f1 0.7539870532126859, valid f1 0.7707458108461227, best valid f1 0.7746202464048104, train loss 56.69507139921188, valid loss 7.4939998388290405.
Epoch 45, train f1 0.7701463355522005, valid f1 0.7732563581278534, best valid f1 0.7746202464048104, train loss 55.20864146947861, valid loss 7.574601322412491.
Epoch 46, train f1 0.7144489481511833, valid f1 0.7421592335125858, best valid f1 0.7746202464048104, train loss 60.342684388160706, valid loss 7.790708303451538.
Epoch 47, train f1 0.7510451916669781, valid f1 0.7676541770442055, best valid f1 0.7746202464048104, train loss 56.50764912366867, valid loss 7.664065182209015.
Epoch 48, train f1 0.7699230459838264, valid f1 0.7744968466952238, best valid f1 0.7746202464048104, train loss 55.378351747989655, valid loss 7.561804950237274.
Epoch 49, train f1 0.7572019087221669, valid f1 0.7716103505042373, best valid f1 0.7746202464048104, train loss 56.35208714008331, valid loss 7.822119116783142.
Epoch 50, train f1 0.7658673746595529, valid f1 0.7730042165739835, best valid f1 0.7746202464048104, train loss 55.971401035785675, valid loss 7.351402372121811.
Early Stopping!
