Epoch 1, train f1 0.1748100398604883, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.53160846233368, valid loss 12.84204912185669.
Epoch 2, train f1 0.2752569629625504, valid f1 0.500574471630432, best valid f1 0.500574471630432, train loss 81.91245198249817, valid loss 8.964862704277039.
Epoch 3, train f1 0.5738904871371352, valid f1 0.4939826638805046, best valid f1 0.500574471630432, train loss 60.14747577905655, valid loss 7.903182119131088.
Epoch 4, train f1 0.6575766542474597, valid f1 0.648289355464132, best valid f1 0.648289355464132, train loss 54.34583640098572, valid loss 6.857918947935104.
Epoch 5, train f1 0.7764518609625052, valid f1 0.8726368319789373, best valid f1 0.8726368319789373, train loss 45.36365583539009, valid loss 5.608443111181259.
Epoch 6, train f1 0.9047946540345185, valid f1 0.9244354039252678, best valid f1 0.9244354039252678, train loss 36.31943079829216, valid loss 4.766804933547974.
Epoch 7, train f1 0.9394562002663472, valid f1 0.9293579386542774, best valid f1 0.9293579386542774, train loss 32.86972817778587, valid loss 4.418535083532333.
Epoch 8, train f1 0.9563565482889869, valid f1 0.9596770098014322, best valid f1 0.9596770098014322, train loss 30.69086980819702, valid loss 4.221270561218262.
Epoch 9, train f1 0.976319250731055, valid f1 0.9675514013068586, best valid f1 0.9675514013068586, train loss 28.67674347758293, valid loss 3.9662385880947113.
Epoch 10, train f1 0.9858039544082963, valid f1 0.987524813120328, best valid f1 0.987524813120328, train loss 27.9511978328228, valid loss 3.7621241211891174.
Epoch 11, train f1 0.9910415309891817, valid f1 0.9874868083823307, best valid f1 0.987524813120328, train loss 27.630359411239624, valid loss 3.7766622602939606.
Epoch 12, train f1 0.9905207111603412, valid f1 0.9900123753093828, best valid f1 0.9900123753093828, train loss 27.388598084449768, valid loss 3.722792088985443.
Epoch 13, train f1 0.993748627070534, valid f1 0.9858626090102595, best valid f1 0.9900123753093828, train loss 27.076870501041412, valid loss 3.76630038022995.
Epoch 14, train f1 0.9935409432049584, valid f1 0.9882874045251815, best valid f1 0.9900123753093828, train loss 27.049941450357437, valid loss 3.7968957722187042.
Epoch 15, train f1 0.9938609365758919, valid f1 0.9958511087977616, best valid f1 0.9958511087977616, train loss 27.156864911317825, valid loss 3.6504587531089783.
Epoch 16, train f1 0.9958359984857579, valid f1 0.98999899989999, best valid f1 0.9958511087977616, train loss 26.78416833281517, valid loss 3.6836725175380707.
Epoch 17, train f1 0.9851891826119594, valid f1 0.9874748118702967, best valid f1 0.9958511087977616, train loss 27.686302989721298, valid loss 3.7164767682552338.
Epoch 18, train f1 0.9935388208932452, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.987776339054108, valid loss 3.628889739513397.
Epoch 19, train f1 0.9981244122298407, valid f1 0.9933383565850169, best valid f1 0.9974999374984375, train loss 26.55817401409149, valid loss 3.59464231133461.
Epoch 20, train f1 0.997397733777769, valid f1 0.9949999374984375, best valid f1 0.9974999374984375, train loss 26.629684954881668, valid loss 3.5916644036769867.
Epoch 21, train f1 0.9962498039550016, valid f1 0.9874440017109025, best valid f1 0.9974999374984375, train loss 26.641013473272324, valid loss 3.7386520504951477.
Epoch 22, train f1 0.9919784637458561, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 27.08477172255516, valid loss 3.5964727103710175.
Epoch 23, train f1 0.9954181142561889, valid f1 0.9949871852856927, best valid f1 0.9974999374984375, train loss 26.641580551862717, valid loss 3.6498414874076843.
Epoch 24, train f1 0.9984382801525863, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.546540528535843, valid loss 3.5158540308475494.
Epoch 25, train f1 0.9976028992571194, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.47316014766693, valid loss 3.520169645547867.
Epoch 26, train f1 0.99749940746862, valid f1 0.9949999374984375, best valid f1 0.9974999374984375, train loss 26.477106422185898, valid loss 3.542217493057251.
Epoch 27, train f1 0.9937518174825921, valid f1 0.9949999374984375, best valid f1 0.9974999374984375, train loss 26.941614031791687, valid loss 3.556854873895645.
Early Stopping!
