Epoch 1, train f1 0.1704788448762664, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.60308182239532, valid loss 12.883934378623962.
Epoch 2, train f1 0.2732131333864858, valid f1 0.5007828919714166, best valid f1 0.5007828919714166, train loss 83.16311568021774, valid loss 9.073745995759964.
Epoch 3, train f1 0.5731887126749189, valid f1 0.6794809064924008, best valid f1 0.6794809064924008, train loss 60.397139728069305, valid loss 7.800179094076157.
Epoch 4, train f1 0.6548872711737864, valid f1 0.7915216858613086, best valid f1 0.7915216858613086, train loss 53.31861609220505, valid loss 6.561734616756439.
Epoch 5, train f1 0.8016625454559457, valid f1 0.8772880541405494, best valid f1 0.8772880541405494, train loss 44.03941822052002, valid loss 5.640565186738968.
Epoch 6, train f1 0.8844990342241795, valid f1 0.9070506364091613, best valid f1 0.9070506364091613, train loss 37.15368187427521, valid loss 4.768934667110443.
Epoch 7, train f1 0.9390990939379817, valid f1 0.940991587884379, best valid f1 0.940991587884379, train loss 32.7320858836174, valid loss 4.332202225923538.
Epoch 8, train f1 0.9574553798378123, valid f1 0.9547496790757382, best valid f1 0.9547496790757382, train loss 30.647092282772064, valid loss 4.2755144238471985.
Epoch 9, train f1 0.9737424445914025, valid f1 0.9571514516028596, best valid f1 0.9571514516028596, train loss 29.203337758779526, valid loss 4.113882929086685.
Epoch 10, train f1 0.9841700026332028, valid f1 0.9809116968180955, best valid f1 0.9809116968180955, train loss 28.18667560815811, valid loss 3.8256415724754333.
Epoch 11, train f1 0.9845956387498163, valid f1 0.9799602410542372, best valid f1 0.9809116968180955, train loss 27.914701282978058, valid loss 3.8165405094623566.
Epoch 12, train f1 0.9899958826938259, valid f1 0.9858637322569125, best valid f1 0.9858637322569125, train loss 27.377144038677216, valid loss 3.795860856771469.
Epoch 13, train f1 0.9886405997823935, valid f1 0.9899743705713854, best valid f1 0.9899743705713854, train loss 27.63624733686447, valid loss 3.7055051624774933.
Epoch 14, train f1 0.9904200649405532, valid f1 0.9824824680258104, best valid f1 0.9899743705713854, train loss 27.158863425254822, valid loss 3.7519779205322266.
Epoch 15, train f1 0.9934404270044681, valid f1 0.9950000000000001, best valid f1 0.9950000000000001, train loss 27.12717965245247, valid loss 3.6085704565048218.
Epoch 16, train f1 0.9924024881218658, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.9664546251297, valid loss 3.600832760334015.
Epoch 17, train f1 0.9933325423251596, valid f1 0.9908131040597643, best valid f1 0.9974999374984375, train loss 26.92969262599945, valid loss 3.7098892629146576.
Epoch 18, train f1 0.9942732996936325, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.881475508213043, valid loss 3.5362756550312042.
Epoch 19, train f1 0.9961446580385281, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.650177538394928, valid loss 3.527063488960266.
Epoch 20, train f1 0.9963552293614939, valid f1 1.0, best valid f1 1.0, train loss 26.673521101474762, valid loss 3.52549609541893.
Epoch 21, train f1 0.9950011600496894, valid f1 0.9734019201527924, best valid f1 1.0, train loss 26.788042426109314, valid loss 3.8336149156093597.
Epoch 22, train f1 0.9787627547861247, valid f1 0.9899595968083579, best valid f1 1.0, train loss 28.743476152420044, valid loss 3.64523783326149.
Epoch 23, train f1 0.9938482409101823, valid f1 0.9900346512096664, best valid f1 1.0, train loss 26.919190883636475, valid loss 3.686598837375641.
Epoch 24, train f1 0.9978117109252532, valid f1 1.0, best valid f1 1.0, train loss 26.57858631014824, valid loss 3.5243246257305145.
Epoch 25, train f1 0.9978113226276968, valid f1 1.0, best valid f1 1.0, train loss 26.513551354408264, valid loss 3.5036107301712036.
Epoch 26, train f1 0.9971870965473275, valid f1 0.9974999374984375, best valid f1 1.0, train loss 26.5637708902359, valid loss 3.5311588048934937.
Epoch 27, train f1 0.9979161597835142, valid f1 1.0, best valid f1 1.0, train loss 26.50480091571808, valid loss 3.4961645901203156.
Epoch 28, train f1 0.9978119135739897, valid f1 0.9950121896611772, best valid f1 1.0, train loss 26.441520750522614, valid loss 3.5424187183380127.
Epoch 29, train f1 0.9981238204230837, valid f1 1.0, best valid f1 1.0, train loss 26.39987739920616, valid loss 3.4978222846984863.
Early Stopping!
