Epoch 1, train f1 0.17072193185326762, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.73519694805145, valid loss 12.917513966560364.
Epoch 2, train f1 0.33602676313844476, valid f1 0.5120363220876956, best valid f1 0.5120363220876956, train loss 83.52930635213852, valid loss 9.022279351949692.
Epoch 3, train f1 0.6888173921404505, valid f1 0.7436354850432662, best valid f1 0.7436354850432662, train loss 56.1881383061409, valid loss 6.458910822868347.
Epoch 4, train f1 0.8219017695059571, valid f1 0.835023599948973, best valid f1 0.835023599948973, train loss 43.54618230462074, valid loss 5.659824877977371.
Epoch 5, train f1 0.90710593024302, valid f1 0.9320114335819647, best valid f1 0.9320114335819647, train loss 36.611893236637115, valid loss 4.602372527122498.
Epoch 6, train f1 0.9460846181736893, valid f1 0.9624635184650046, best valid f1 0.9624635184650046, train loss 32.099985629320145, valid loss 4.2286012172698975.
Epoch 7, train f1 0.9511095675906525, valid f1 0.9547511139624547, best valid f1 0.9624635184650046, train loss 31.385767817497253, valid loss 4.2781848311424255.
Epoch 8, train f1 0.9629491756052044, valid f1 0.9621745339220634, best valid f1 0.9624635184650046, train loss 30.248828202486038, valid loss 4.304408103227615.
Epoch 9, train f1 0.9605612718059868, valid f1 0.9674232423242324, best valid f1 0.9674232423242324, train loss 30.314487546682358, valid loss 4.014607012271881.
Epoch 10, train f1 0.9745530904289418, valid f1 0.9797911910769355, best valid f1 0.9797911910769355, train loss 29.120156079530716, valid loss 3.9776604771614075.
Epoch 11, train f1 0.9761170637713295, valid f1 0.974896019013666, best valid f1 0.9797911910769355, train loss 29.009040385484695, valid loss 3.8405327796936035.
Epoch 12, train f1 0.977772591989305, valid f1 0.9725649905227896, best valid f1 0.9797911910769355, train loss 28.589189797639847, valid loss 3.8527502715587616.
Epoch 13, train f1 0.9810132720885292, valid f1 0.9626677526324684, best valid f1 0.9797911910769355, train loss 28.342056393623352, valid loss 3.8431150019168854.
Epoch 14, train f1 0.9847655866940856, valid f1 0.9699181652859163, best valid f1 0.9797911910769355, train loss 27.862792491912842, valid loss 3.888050377368927.
Epoch 15, train f1 0.9802760886430456, valid f1 0.9775439854793025, best valid f1 0.9797911910769355, train loss 28.040035009384155, valid loss 3.80790513753891.
Epoch 16, train f1 0.9839596041222582, valid f1 0.9825372509312733, best valid f1 0.9825372509312733, train loss 27.71378529071808, valid loss 3.6960525512695312.
Epoch 17, train f1 0.9896854332490362, valid f1 0.987497186867045, best valid f1 0.987497186867045, train loss 27.37400922179222, valid loss 3.615567684173584.
Epoch 18, train f1 0.9860294460235451, valid f1 0.9749949363606811, best valid f1 0.987497186867045, train loss 27.60730418562889, valid loss 3.856785148382187.
Epoch 19, train f1 0.9911480352361192, valid f1 0.99, best valid f1 0.99, train loss 27.240273892879486, valid loss 3.6951534152030945.
Epoch 20, train f1 0.9891696812665532, valid f1 0.9908388566350219, best valid f1 0.9908388566350219, train loss 27.16756159067154, valid loss 3.727346271276474.
Epoch 21, train f1 0.9947929348159656, valid f1 0.9924983121202271, best valid f1 0.9924983121202271, train loss 26.773716777563095, valid loss 3.7173011898994446.
Epoch 22, train f1 0.9884324056205613, valid f1 0.98749899989999, best valid f1 0.9924983121202271, train loss 27.277683824300766, valid loss 3.7408652007579803.
Epoch 23, train f1 0.9939589180503586, valid f1 0.9818011042298008, best valid f1 0.9924983121202271, train loss 26.837582677602768, valid loss 3.6731210350990295.
Epoch 24, train f1 0.9942739110110903, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.7720028758049, valid loss 3.5423683524131775.
Epoch 25, train f1 0.9946833207981374, valid f1 1.0, best valid f1 1.0, train loss 26.77276211977005, valid loss 3.5347615480422974.
Epoch 26, train f1 0.9972929445733827, valid f1 0.9883107681076821, best valid f1 1.0, train loss 26.643035888671875, valid loss 3.695581555366516.
Epoch 27, train f1 0.9968734236888901, valid f1 0.9883375513982561, best valid f1 1.0, train loss 26.5559783577919, valid loss 3.697298914194107.
Epoch 28, train f1 0.9976044485994702, valid f1 0.9883755468712098, best valid f1 1.0, train loss 26.540694147348404, valid loss 3.590714246034622.
Epoch 29, train f1 0.9972911586803109, valid f1 0.9950000000000001, best valid f1 1.0, train loss 26.568313747644424, valid loss 3.6527602672576904.
Epoch 30, train f1 0.9956228431273388, valid f1 0.9950121896611772, best valid f1 1.0, train loss 26.688194036483765, valid loss 3.5619243383407593.
Epoch 31, train f1 0.9978119135739896, valid f1 0.9958388566350218, best valid f1 1.0, train loss 26.496398836374283, valid loss 3.5948987901210785.
Epoch 32, train f1 0.9972927231422963, valid f1 0.9974999374984375, best valid f1 1.0, train loss 26.50002670288086, valid loss 3.563435435295105.
Epoch 33, train f1 0.9993748040766136, valid f1 0.9950000000000001, best valid f1 1.0, train loss 26.31651508808136, valid loss 3.5433574616909027.
Epoch 34, train f1 0.9984374993896482, valid f1 1.0, best valid f1 1.0, train loss 26.397771060466766, valid loss 3.501869559288025.
Early Stopping!
