Epoch 1, train f1 0.17321933803200065, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.73490035533905, valid loss 13.047266602516174.
Epoch 2, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 95.39759469032288, valid loss 12.960032939910889.
Epoch 3, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 95.03679192066193, valid loss 12.923762083053589.
Epoch 4, train f1 0.1717501051565109, valid f1 0.2856221792392005, best valid f1 0.2856221792392005, train loss 92.65004014968872, valid loss 11.967397332191467.
Epoch 5, train f1 0.31489233874843797, valid f1 0.34403254972875225, best valid f1 0.34403254972875225, train loss 84.60380738973618, valid loss 11.218410789966583.
Epoch 6, train f1 0.33854510828647344, valid f1 0.39579098915989164, best valid f1 0.39579098915989164, train loss 81.16196995973587, valid loss 10.970688462257385.
Epoch 7, train f1 0.41227259318189036, valid f1 0.46994473507573475, best valid f1 0.46994473507573475, train loss 78.45237803459167, valid loss 10.667733609676361.
Epoch 8, train f1 0.49615678615480807, valid f1 0.5292004521659234, best valid f1 0.5292004521659234, train loss 75.7346059679985, valid loss 10.122976541519165.
Epoch 9, train f1 0.5570381743683422, valid f1 0.6011707262674769, best valid f1 0.6011707262674769, train loss 73.76723062992096, valid loss 9.672725319862366.
Epoch 10, train f1 0.5976714606942246, valid f1 0.6121051161973609, best valid f1 0.6121051161973609, train loss 71.78689342737198, valid loss 9.415008962154388.
Epoch 11, train f1 0.6183273641785525, valid f1 0.6344006393619144, best valid f1 0.6344006393619144, train loss 69.38073539733887, valid loss 9.045483469963074.
Epoch 12, train f1 0.6276259507171473, valid f1 0.670236448571812, best valid f1 0.670236448571812, train loss 68.51032900810242, valid loss 9.174026429653168.
Epoch 13, train f1 0.642669828063929, valid f1 0.6455697073234186, best valid f1 0.670236448571812, train loss 67.0861040353775, valid loss 9.158236265182495.
Epoch 14, train f1 0.6503885089340176, valid f1 0.6893053731595902, best valid f1 0.6893053731595902, train loss 66.68659806251526, valid loss 9.080037593841553.
Epoch 15, train f1 0.6795223334188296, valid f1 0.6725572652466938, best valid f1 0.6893053731595902, train loss 64.68657553195953, valid loss 8.911710262298584.
Epoch 16, train f1 0.6613798761344627, valid f1 0.6817991330802395, best valid f1 0.6893053731595902, train loss 66.21111059188843, valid loss 8.757496535778046.
Epoch 17, train f1 0.6752633703239228, valid f1 0.6992607922881325, best valid f1 0.6992607922881325, train loss 64.30531084537506, valid loss 8.563554167747498.
Epoch 18, train f1 0.68502636793833, valid f1 0.640703720336473, best valid f1 0.6992607922881325, train loss 63.27052974700928, valid loss 9.195868074893951.
Epoch 19, train f1 0.656285837437248, valid f1 0.6944800068885957, best valid f1 0.6992607922881325, train loss 65.5536402463913, valid loss 8.510867178440094.
Epoch 20, train f1 0.6978378601064447, valid f1 0.7202055621862441, best valid f1 0.7202055621862441, train loss 62.138732969760895, valid loss 8.358739674091339.
Epoch 21, train f1 0.6883792361652054, valid f1 0.6686763949067602, best valid f1 0.7202055621862441, train loss 63.18392717838287, valid loss 8.925308644771576.
Epoch 22, train f1 0.7003272322933769, valid f1 0.647052540713255, best valid f1 0.7202055621862441, train loss 61.23716914653778, valid loss 8.923377454280853.
Epoch 23, train f1 0.7034685345758899, valid f1 0.708359090105337, best valid f1 0.7202055621862441, train loss 61.160990715026855, valid loss 8.237530529499054.
Epoch 24, train f1 0.7020573189893493, valid f1 0.7247463806594475, best valid f1 0.7247463806594475, train loss 61.71216505765915, valid loss 8.104120552539825.
Epoch 25, train f1 0.6930772598094233, valid f1 0.7299669625173202, best valid f1 0.7299669625173202, train loss 62.250582337379456, valid loss 8.238811612129211.
Epoch 26, train f1 0.7195115332963054, valid f1 0.7108819798976398, best valid f1 0.7299669625173202, train loss 59.88366663455963, valid loss 8.40827265381813.
Epoch 27, train f1 0.6928052533726013, valid f1 0.6944795711607252, best valid f1 0.7299669625173202, train loss 61.29349201917648, valid loss 8.846771657466888.
Epoch 28, train f1 0.7062448577422232, valid f1 0.6992817243361418, best valid f1 0.7299669625173202, train loss 60.87078648805618, valid loss 8.3762788772583.
Epoch 29, train f1 0.7213478041461169, valid f1 0.7223437544768758, best valid f1 0.7299669625173202, train loss 59.50668430328369, valid loss 8.27389109134674.
Epoch 30, train f1 0.7084743130021851, valid f1 0.6927488723771462, best valid f1 0.7299669625173202, train loss 60.35082346200943, valid loss 8.16641628742218.
Epoch 31, train f1 0.7136742724996595, valid f1 0.6964667583151944, best valid f1 0.7299669625173202, train loss 59.98255652189255, valid loss 8.04123055934906.
Epoch 32, train f1 0.7128381315063115, valid f1 0.7093103650440475, best valid f1 0.7299669625173202, train loss 60.11822074651718, valid loss 8.093557834625244.
Epoch 33, train f1 0.705225297861846, valid f1 0.7109325345963388, best valid f1 0.7299669625173202, train loss 59.947200417518616, valid loss 8.032039225101471.
Epoch 34, train f1 0.71978278036348, valid f1 0.7082647970452614, best valid f1 0.7299669625173202, train loss 58.549130380153656, valid loss 8.29351544380188.
Epoch 35, train f1 0.7261771314128759, valid f1 0.7329825036314345, best valid f1 0.7329825036314345, train loss 59.13021844625473, valid loss 8.25266444683075.
